product_title,Brand,RAM,Storage SSD,Windows,Color,Price,Rating,Processor,Screen
"HP OmniBook 7 OLED, Intel Core Ultra 5 255H (16GB LPDDR5,1TB SSD), 3K, 0.2 ms, Micro-Edge, 14''/35.6cm, Win 11, M365, Office 24, Meteor Silver,1.5kg, fr0789TU, 5MP Camera w/Shutter, Backlit AI Laptop",HP,16GB,16GB ,Windows 11,,86490,3.7,,
"HP OmniBook X Flip OLED (Previously Envy), Intel Core Ultra 5 226V, 40 Tops, (16GB LPDDR5X, 512GB SSD) 3K, 14''/35.6cm, Touch, Win11, Office24, Silver,1.38kg, fm0058TU, 5MP Camera, Next Gen AI Laptop",HP,16GB,16GB ,Windows 11,,108990,3.8,,
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",HP,12GB,12GB ,Windows 11,,41990,4.1,i3,
"EBook 11.6"" HD Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB DDR4 | 128GB eMMC + M.2 SSD Expandable Slot | Win 11 Home |31Wh Battery | UHD Graphics 600 | Black",EBook,4GB,4GB ,Windows 11,,10990,3.5,,
"JioBook 11 with Lifetime Office | Android 4G Laptop Mediatek 8788 (JioOS) | Octa-core | 4GB RAM | 64 eMMC Storage | Thin and Light Laptop (11.6 inch, 990 Grams) | Dual Band WiFi + SIM | Blue",JioBook,4GB,4GB ,,,10990,2.9,,
"MSI Thin 15, Intel 13th Gen. Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B13UC-1805IN",MSI,16GB,16GB,Windows 11,,60525,4.2,i5,
"ASUS Vivobook 15, Smartchoice, AMD Ryzen 7 5825U, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, M1502YA-BQ703WS, AMD Radeon iGPU, M365 Basic (1Year)*, 42Whr Laptop",ASUS,16GB,16GB ,Windows 11,,48990,4.3,Ryzen 7,
"Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA",Lenovo,4GB,4GB ,,,,3.9,,11.6
"HP 15, AMD Ryzen 3 7320U (8GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fc0500AU, FHD Camera w/Privacy Shutter Laptop",HP,8GB,8GB ,Windows 11,,36990,4.0,Ryzen 3,
"acer Aspire Go 14,14th Gen, Intel Core Ultra 5 125H, 16GB DDR5, 512GB, WUXGA IPS, 14.0""/35.56cm, Win 11, MS Office, Steel Gray, 1.5 kg, AG14-71M, Backlit KB, AI Powered Laptop",acer,16GB,16GB ,Windows 11,,54427,3.6,,
"Lenovo IdeaPad Slim 3 13th Gen Core i7-13620H 15.3"" (38.8cm) WUXGA IPS Laptop (24GB RAM/1TB SSD/Win 11/Office 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg),83K100TEIN",Lenovo,24GB,24GB ,Windows 11,,90990,4.1,i7,
"Lenovo IdeaPad 5 2-in-1 Convertible Laptop, Intel Core i7-13620H, 13th Gen, 16GB RAM, 512GB SSD, WUXGA OLED 400Nit, 14""/35.5cm, Windows 11, Office Home 2024, Grey, 1.5kg, 83KX004RIN, FPR, 1Yr ADP Free",Lenovo,16GB,16GB ,Windows 11,,88800,4.2,i7,
"Dell 15, Intel Core i5 13th Gen-1334U Processor, 16GB DDR4, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, MSO 2024, Grey, 1.66kg, [Vostro 3530], 120Hz 250 nits, 15 Month McAfee, Thin & Light, Laptop",Dell,16GB,16GB ,Windows 11,,56990,3.7,i5,
"Lenovo V15 Intel Core i3 13th Gen (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey) 15.6"" FHD (1920x1080) Antiglare 250 Nits Thin & Light Laptop/1Y Onsite/1.65 kg, 83CCA08KIN",Lenovo,16GB,16GB ,Windows 11,,48990,3.9,i3,
"acer Nitro V 15, AMD Ryzen 7-7445HS, NVIDIA GeForce RTX 4050-6 GB, 16GB DDR5, 512GB SSD, FHD IPS, 15.6""/39.62cm, 165Hz, Win 11 Home, Obsidian Black, 2.1KG, ANV15-42, Gaming Laptop",acer,6GB,6 GB,Windows 11,,76990,3.7,Ryzen 7,
"Lenovo IdeaPad Slim 3, 12th Gen Intel Core i5-12450H (16GB LPDDR5, 512GB SSD), Anti-glare, FHD 15.6""(39.6cm), Win 11, Office Home 2024, Arctic Grey, 1.62Kg, 83ER00MDIN, Thin & Light, Backlit KB Laptop",Lenovo,16GB,16GB ,Windows 11,,51525,4.2,i5,
